# Phase 206 (D-10/D-11): committed CC0 lichess puzzle set for Train's sharp
# filler. Rows are COPIED from fixtures/tagger/detector_fixture_{train,test}.csv
# and are APPEND-ONLY -- never delete a row, since an in-flight drill_solves row
# may reference its puzzle_id (D-10's no-repeat key). Generated once by
# scripts/gen_sharp_filler_set.py; every row cleared a real offline Stockfish
# MultiPV-5 sharpness check (D-13) before being committed here.
puzzle_id,fen,first_move_uci,solution_uci,ply,side_to_move,motif,rating,themes
01lh4,r4rk1/pp1b1ppp/2n1pq2/1B1p1n2/Qb1P4/2N1B3/PP2NPPP/R4RK1 w - - 8 13,e8g8,b5c6,24,white,Capturing the defender,1168,advantage capturingDefender middlegame short
02uJi,2k2n2/1p4r1/p2p3p/2pPp3/2Pn3R/2N5/PP2N1PP/6K1 b - - 1 25,e4h4,d4f3,49,black,Pin,1366,crushing endgame kingsideAttack pin short
03hRD,8/8/2k5/1R6/2K5/3P4/8/7r b - - 4 79,c3c4,h1c1,157,black,Deflection,1221,crushing deflection endgame master rookEndgame short
05DOV,8/2p1k3/3r4/2Nr1p1p/1PK1p1b1/4P1P1/2P2P2/2R2R2 b - - 4 33,g1f1,g4e2,65,black,Fork,1296,crushing endgame fork master short
09b6c,rn1qk2r/ppp1p1bp/3p2p1/3Q1b2/2PP4/5N2/PP3PPP/R1B1KB1R b KQkq - 2 9,e4d5,c7c6,17,black,Trapped piece,1346,crushing opening short trappedPiece
0ATa7,rnb1k2r/1ppq1npp/p3p3/3pPp1Q/5P1B/2PBPN1P/PP4P1/R3K2R b KQkq - 6 16,d2f3,g7g6,31,black,Trapped piece,1196,crushing middlegame short trappedPiece
0BP3P,8/5ppk/p1q4p/2r1PP2/8/3Q3P/2p3PK/2B5 w - - 1 38,g6c6,f5f6,74,white,Discovered attack,1129,crushing discoveredAttack discoveredCheck endgame master short
0D4Bz,7k/3P4/5b1p/8/2P5/8/5KP1/1r2B3 w - - 0 46,a1b1,e1c3,90,white,Deflection,1375,advancedPawn advantage deflection endgame promotion short
0HQhk,8/5B2/2k4p/6pP/n7/p3P3/2K3P1/8 w - - 2 38,b2a4,f7e8,74,white,Skewer,1349,crushing endgame short skewer
0JaXG,r4rk1/p6p/6p1/2R1Q1Pn/q4P2/2PP1R2/P2B3P/7K b - - 0 27,c6c5,a4d1,53,black,Fork,1252,crushing fork master middlegame short
0K3EL,4R3/1pk1P1p1/2p3p1/8/1Pn2b2/p4r1P/P1P5/1K2B3 w - - 0 36,e5c4,e8c8,70,white,Attraction,1157,advancedPawn attraction crushing endgame master promotion short
0Lgqk,8/p3r3/5pRP/2p1k3/2P2p2/1P4P1/P3KP2/8 b - - 0 36,h5h6,e5f5,71,black,Discovered attack,1164,crushing discoveredAttack discoveredCheck endgame rookEndgame short
0McyU,2r5/p3kP2/3NP3/2p5/P7/3PK3/1P6/8 b - - 1 44,c4d6,e7d6,87,black,Hanging piece,1153,crushing endgame hangingPiece short
0N7DH,3r2k1/5p2/R1n2bpp/8/P4P2/6P1/R4PK1/8 b - - 4 38,a7a6,c6b4,75,black,Fork,1254,advantage endgame fork short
0P661,8/8/4p3/2RpP1k1/1P4P1/4NK2/4nP2/2qb4 w - - 0 55,c2c1q,c5c1,108,white,Capturing the defender,1180,advantage capturingDefender endgame short
0PhL4,1k1r3r/ppp1b1pp/3p4/5p2/2P1qP2/8/PP3QPP/R1B2RK1 w - - 2 16,c8b8,f1e1,30,white,Skewer,1274,advantage middlegame short skewer
0T1Jg,5r2/2k4p/1pp1Rp2/4p3/4P3/6P1/PP3P1P/6K1 b - - 0 27,g2g3,c7d7,53,black,Trapped piece,1136,crushing endgame rookEndgame short trappedPiece
0VGaR,1rr3k1/p5p1/b3pp2/P2p4/1B6/1qP1PP2/3Q1KPP/R6R b - - 2 31,e1f2,b8b4,61,black,Pin,1369,advantage middlegame pin sacrifice short
0VTAN,r3k1nr/3n1ppp/2p1p3/2qp4/3Q4/4P3/P2N1PPP/R3K1NR w KQkq - 0 14,a5c5,d4g7,26,white,Trapped piece,1174,advantage middlegame short trappedPiece
0VmVw,3r4/4k1qp/3p4/3Qpp2/5p2/8/2P3PP/1R4K1 w - - 2 30,g8d8,b1b7,58,white,Skewer,1214,crushing endgame master short skewer
0Vus0,r5k1/p2b1pp1/7p/8/1PqbR3/8/P4PPP/RN1Q2K1 b - - 1 21,e1e4,d4f2,41,black,Discovered attack,1039,advantage discoveredAttack middlegame short
0fAbc,7r/2pQ4/8/4p1k1/5p2/2P3q1/P4RBr/6K1 w - - 2 38,c8h8,d7g7,74,white,Interference,1185,crushing endgame interference master short
0hkjt,2kr1qn1/pppb1p1Q/2npp2p/8/3P4/2PBP3/PP1N1PPP/R3K2R b KQ - 2 14,h8h7,g8f6,27,black,Trapped piece,1087,crushing middlegame short trappedPiece
0j9SE,r1q3k1/2Q4p/1P2p1p1/3p2P1/3P1P2/4P1K1/3B4/8 w - - 1 36,f8c8,b6b7,70,white,Fork,1303,advancedPawn crushing endgame fork promotion short
0op9P,8/3k4/7R/3B4/3p1P2/P6P/1Pr1bK2/8 b - - 2 46,g1f2,e2c4,91,black,Discovered attack,1170,advantage discoveredAttack discoveredCheck endgame master short
0p1p0,r4rk1/1bq1bppp/p3p3/np2P3/2p2P2/P1P1BN2/1P3QPP/R2N1RK1 w - - 4 18,c6a5,e3b6,34,white,Interference,1184,advantage interference master middlegame short
0pYZN,r1br2k1/pp3ppp/3Bp3/q2p4/2pP3P/P1n1P3/2P1BPP1/R1Q2K1R w - - 4 17,f8d8,d6b4,32,white,Interference,1202,advantage interference middlegame short
0sDu5,1r5r/pq2pk2/3pR3/1pp2PB1/2Pb2P1/3P1Q2/PP4K1/R7 b - - 0 26,c1g5,h8h2,51,black,Deflection,1269,crushing deflection middlegame short
0xU45,6k1/8/4NR2/4p3/7P/3nPKP1/1r6/8 b - - 0 41,h2h4,b2f2,81,black,Skewer,1164,advantage endgame short skewer
147eV,3b4/pp1k2p1/3p2Np/1P3p2/P1r5/4P1PP/5PK1/3R4 w - - 3 31,c5c4,g6e5,60,white,Pin,1073,crushing endgame pin short
